ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
EG5310,KENET,BUGUP,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGTK
1. Via BIG/MAY/SAM
2. DEP EGHH/HI/HO/HR, FARNBOROUGH_GROUP, LONDON_GROUP",H24,To ensure traffic follows standard route,,,EG**ACC,
EG50329,ALAVA,GOKOV,135,660,Yes,"ONLY AVBL FOR TFC
acft-eqpt  (D1, D2, D3, D4, O1, O2, O3, O4)
ARR EGNT
With RFL above FL245",23:59..06:00 (22:59..05:00) at ALAVA,Night DCT to allow more direct routeing to pick up the POL1N,,,EG**ACC,
EG50323,LUVUM,TNT,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
DEP EGBB, EGBE
Via TNT",H24,"To allow traffic departing EGBB to link with TNT for routing N57,M868, L28, and STAR DAYNE2A, previously flying a TNT SID",,,EG**ACC,
EG50325,XAPOS,EVSON,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGCN
acft-eqpt NOT( D1, D2, D3, D4, O1, O2, O3, O4)
Via EMBOR",H24,To allow Non RNAV traffic to route EMBOR N601 XAPOS DCT EVSON M868 ADELU L60 MAMUL DCT which mirrors the EMBOR 1D STAR.,,,EG**ACC,
EG50328,GASKO,UPTON,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGCN
Via GASKO
acft-eqpt NOT( D1, D2, D3, D4, O1, O2, O3, O4)",H24,TO ALLOW NON RNAV TRAFFIC TO FOLLOW THE GASKO STAR AND ACHIEVE THE CORRECT SECTOR CAPTURE,,,EG**ACC,
EG50331,ROLEX,GOKOV,135,660,Yes,"ONLY AVBL FOR TFC
acft-eqpt  (D1, D2, D3, D4, O1, O2, O3, O4)
ARR EGNT
With RFL above FL245",23:59..06:00 (22:59..05:00) at ROLEX,Night DCT to allow more direct routeing to pick up the POL1N,,,EG**ACC,
EG50345,TEBRA,ABTUM,MEA,660,Yes,"COMPULSORY FOR TFC
ARR EGKA
Via SUMUM, RAPIX
------
NOT AVBL FOR TFC
Above FL245
Except ARR EGKA",H24,To enforce standard routes,,,EG**ACC,
EG50336,ABTUM,ARNUN,MEA,660,Yes,"COMPULSORY FOR TFC
ARR EGKA
Via SUMUM, RAPIX
------
NOT AVBL FOR TFC
Above FL245
Except ARR EGKA",H24,To enforce standard routes,,,EG**ACC,
EG50337,ARNUN,LARCK,MEA,660,Yes,"COMPULSORY FOR TFC
ARR EGKA
Via SUMUM, RAPIX
------
NOT AVBL FOR TFC
Above FL245
Except ARR EGKA",H24,To enforce standard routes,,,EG**ACC,
LT5012,EKMEL,ASMAP,095,660,Yes,"ONLY AVBL FOR TFC
DEP LTBR",H24,To facilitate departing traffic,,,LT**ACC,
