Change Status,Point Type,FRA Point,FRA Point Latitude,FRA Point Longitude,FRA Name,FRA Status En-Route,FRA Status ARR/DEP,Arrival Airport(s),Departure Airport(s),FLOS,Level Availability,Time Availability,Airspace Location Indicators,Cross-Border FRA States,Remarks
,,AMIBO,N345640,E0213627,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LMMM,,
,,AMISI,N385048,E0244906,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,AMLAV,N440943,E0294558,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,AMLON,N442021,E0125235,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIMM,,
,,AMRAX,N480529,E0192158,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,EVEN,FL095 / FL245,H24,LHCC,LZBB,Published as I without level specification in AIP Hungary
,,AMRAX,N480529,E0192158,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,EVEN,FL095 / FL245,H24,LHCC,LZBB,Published as I withouth level specification in AIP Hungary
,,AMRAX,N480529,E0192158,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,X,-,,,EVEN,FL095 / FL245,H24,LHCC,LZBB,
,,AMRAX,N480529,E0192158,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LHCC,LZBB,
,,AMRAX,N480529,E0192158,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LZBB,LHCC,
,,AMREX,N375816,E0175502,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
